"Event Name","Event Type","Resource Id","Event Date","Account","Region","Description"
"o2-s3-default-encryption","-","eks-v1-eksstack-1s4xaijrtjygg-kubeconfigbucket-4fl4gvcz81oa","2020-04-07T19:53:43.669Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","-","eks-v1-eksstack-o6m6187b0vh6-kubeconfigbucket-1b147tl0ba4m7","2020-04-07T20:01:26.830Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","-","eks-v1-eksstack-199jzxjikzj7x-kubeconfigbucket-rui8hwawy72d","2020-04-07T21:19:28.059Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ec2-required-tags","-","i-006c1a61d88ed2a94","2020-04-07T21:35:13.121Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0c43a4594df33ffa2","2020-04-07T21:35:15.542Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-07df301796a219567","2020-04-07T21:35:15.621Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-040a08d7bf0adb6f8","2020-04-07T21:35:30.235Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-security-group-unrestricted-ssh","-","sg-06c8c644080ce81b0","2020-04-07T22:54:09.284Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ec2-required-tags","-","i-0756215c8e26af09a","2020-04-07T22:54:24.743Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0c16cc28da47da20a","2020-04-07T22:54:28.948Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-security-group-unrestricted-ssh","-","sg-05be33cd02b1c3d32","2020-04-07T23:53:35.715Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ec2-required-tags","-","i-054a715dd8b3288c6","2020-04-07T23:53:53.998Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0d0a6fd7931e9c35c","2020-04-07T23:53:57.292Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-security-group-unrestricted-ssh","-","sg-0c8cedc3210b17501","2020-04-08T00:12:39.952Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ec2-required-tags","-","i-02e966c23b39c66e9","2020-04-08T00:13:06.846Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-09dfc003845985406","2020-04-08T00:13:08.675Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-0c8b71053aa97c9a9","2020-04-08T00:13:23.707Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-security-group-unrestricted-ssh","-","sg-03494efdc0674c1c3","2020-04-08T00:27:21.929Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ec2-required-tags","-","i-095f4aa1450fbd8fb","2020-04-08T00:27:51.011Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0620d261921a673cb","2020-04-08T00:27:52.372Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-0e2316adf28dfb945","2020-04-08T00:27:52.948Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-s3-default-encryption","-","eks-v1-eksstack-bbfrt8rtd96d-kubeconfigbucket-183c5x8qooimx","2020-04-08T00:50:42.099Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ec2-required-tags","-","i-031d6dd0251abdd00","2020-04-08T01:05:51.948Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ec2-required-tags","-","i-058e082600d289515","2020-04-08T01:05:53.685Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-08aa3f98af9acc1e8","2020-04-08T01:05:56.107Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-0a1390a3adf126c8b","2020-04-08T01:06:06.678Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ssm-unmanaged-instance","-","i-031d6dd0251abdd00","2020-04-08T01:07:43.012Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-security-group-unrestricted-ssh","-","sg-0e2f15dc14611ddcc","2020-04-08T01:07:44.476Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ssm-unmanaged-instance","-","i-058e082600d289515","2020-04-08T01:07:48.458Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ec2-required-tags","-","i-045b9b63bdffcbe43","2020-04-08T01:08:04.677Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0d82e4ede2ae37cef","2020-04-08T01:08:05.204Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-0c35d849829506938","2020-04-08T01:08:07.004Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-s3-default-encryption","-","eks-v2-eksstack-15cew4e7wftur-kubeconfigbucket-nyplfwv8ah2e","2020-04-08T01:22:24.204Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ec2-required-tags","-","i-05bdf0e4085c3c686","2020-04-08T01:38:00.308Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ec2-required-tags","-","i-0c6b80b2f230a6a90","2020-04-08T01:38:02.780Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0727736baeeebffd0","2020-04-08T01:38:02.884Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-0f24d3227c5a48f18","2020-04-08T01:38:04.016Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ssm-unmanaged-instance","-","i-0c6b80b2f230a6a90","2020-04-08T01:39:50.452Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ssm-unmanaged-instance","-","i-05bdf0e4085c3c686","2020-04-08T01:39:59.699Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-security-group-unrestricted-ssh","-","sg-0400a83a72ada2eab","2020-04-08T01:40:02.754Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ebs-untagged-volume","-","vol-05b4d88c905ddb4e4","2020-04-08T01:40:05.917Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-0250046c513967777","2020-04-08T01:40:06.113Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-0c65af7ff66b64bf3","2020-04-08T01:40:07.525Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-s3-default-encryption","-","eks-managed-eksstack-1l6a5t0l1pl-kubeconfigbucket-129tmo06hjlnw","2020-04-08T14:52:01.660Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ec2-required-tags","-","i-0751f7ed34a48dd05","2020-04-08T15:11:46.846Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ec2-required-tags","-","i-05c2d3e9b0869c0c7","2020-04-08T15:11:49.125Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0204fbdccf3b67edc","2020-04-08T15:11:49.711Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-068ecc5ad9ec84060","2020-04-08T15:11:51.221Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-security-group-unrestricted-ssh","-","sg-07c72e2975dbe5c81","2020-04-08T15:13:07.954Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ec2-required-tags","-","i-094eacb6b1600a676","2020-04-08T15:13:18.631Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-066683bf5246cc4c4","2020-04-08T15:13:21.097Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-0e33e4d102b1b0c69","2020-04-08T15:13:21.563Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ssm-unmanaged-instance","-","i-05c2d3e9b0869c0c7","2020-04-08T15:14:15.653Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ssm-unmanaged-instance","-","i-0751f7ed34a48dd05","2020-04-08T15:14:19.039Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-s3-default-encryption","-","eks-bastion-test-eksstack-ujl3sr-kubeconfigbucket-rdwg7rk5ycdl","2020-04-08T22:11:28.005Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","-","eks-umg-bastion-eksstack-i5vhhn3-kubeconfigbucket-1210yru1in37m","2020-04-08T22:22:54.680Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ebs-untagged-volume","-","vol-0a898cc7e488e6a7b","2020-04-08T22:37:57.720Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-029d7e19b97e8a875","2020-04-08T22:37:57.724Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-060558396a325cfbb","2020-04-08T22:37:57.808Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ec2-required-tags","-","i-0bdd74cc7705d48e0","2020-04-08T22:37:59.378Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ssm-unmanaged-instance","-","i-060558396a325cfbb","2020-04-08T22:39:47.246Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ec2-required-tags","-","i-021082742271e78db","2020-04-08T22:40:03.328Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0fde1d76c16d83aac","2020-04-08T22:40:03.909Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-093050f002235b922","2020-04-08T22:40:04.378Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ssm-unmanaged-instance","-","i-0bdd74cc7705d48e0","2020-04-08T22:40:06.932Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-s3-default-encryption","-","eks-test-eksstack-qk0u2o2htl4x-kubeconfigbucket-368w0fhfbb5k","2020-04-08T22:55:20.047Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ebs-untagged-volume","-","vol-09863edfbf907be3c","2020-04-08T23:12:05.964Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-0da53a3c4c61662cb","2020-04-08T23:12:06.380Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-05c2c014834c8eec4","2020-04-08T23:12:06.709Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-0c368b0f99f4bb72f","2020-04-08T23:12:07.493Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ssm-unmanaged-instance","-","i-0c368b0f99f4bb72f","2020-04-08T23:13:49.918Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ssm-unmanaged-instance","-","i-0da53a3c4c61662cb","2020-04-08T23:13:51.120Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ec2-required-tags","-","i-0dfda1d909f931a95","2020-04-08T23:14:18.293Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-06995cac1580b067c","2020-04-08T23:14:19.912Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-0b2809b5cb4db7728","2020-04-08T23:14:20.156Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-0319f8c3ecdd1c7b7","2020-04-09T00:08:21.082Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0257ff9b05ae002ac","2020-04-09T00:08:27.818Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-01b73073a479d9522","2020-04-09T00:19:33.862Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-04df1ae039e6fbfd2","2020-04-09T00:19:44.034Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-048287da94deff34d","2020-04-09T00:42:24.681Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-021e1399e475f00ff","2020-04-09T00:42:29.229Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-007ddc97ea30fd0ff","2020-04-09T01:07:34.653Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-04b953d93b66358fd","2020-04-09T01:07:41.284Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-s3-default-encryption","-","eks-unmanaged-eksstack-1w2wkekk2-kubeconfigbucket-t9ddku3jg7z4","2020-04-09T02:03:12.528Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ebs-untagged-volume","-","vol-0721b58f8f13a38e6","2020-04-09T02:19:54.527Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-0de1b3103f8768c6c","2020-04-09T02:19:54.694Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-06d758fe79d312020","2020-04-09T02:19:55.252Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-054e952a281bef07e","2020-04-09T02:19:55.726Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ssm-unmanaged-instance","-","i-0de1b3103f8768c6c","2020-04-09T02:21:52.379Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ebs-untagged-volume","-","vol-0e9936e0a5a86fea3","2020-04-09T02:22:04.530Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-07ef3cbeba0417f8a","2020-04-09T02:22:05.157Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ssm-unmanaged-instance","-","i-054e952a281bef07e","2020-04-09T02:22:06.162Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ec2-required-tags","-","i-0d96f80676a9dec59","2020-04-09T02:22:06.973Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-s3-default-encryption","-","eks-unmanaged-1-eksstack-1osh20v-kubeconfigbucket-1wr3pkzubvp7p","2020-04-13T14:30:00.471Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ec2-required-tags","-","i-03fdc92f4249a2176","2020-04-13T14:46:41.361Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-080914fc2dfd330a8","2020-04-13T14:46:41.508Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-02125cf7ac59eb676","2020-04-13T14:46:43.616Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0dc00eaf6eb401b49","2020-04-13T14:46:57.077Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ssm-unmanaged-instance","-","i-03fdc92f4249a2176","2020-04-13T14:48:45.975Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ssm-unmanaged-instance","-","i-02125cf7ac59eb676","2020-04-13T14:48:55.191Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ebs-untagged-volume","-","vol-06644ec9c63ecc29e","2020-04-13T14:48:57.940Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-058b46e9a5d4be2af","2020-04-13T14:48:58.659Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-0adfd17ee282d85cd","2020-04-13T14:48:59.981Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ec2-required-tags","-","i-08005761daebc9319","2020-04-13T15:22:11.638Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0c62f00f6ab15277a","2020-04-13T15:22:15.720Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-s3-default-encryption","-","unmanaged-2-eksstack-1qki4ohl6ml-kubeconfigbucket-1pd4mmnjs6x7z","2020-04-13T16:20:19.652Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ebs-untagged-volume","-","vol-07825a685b4bc1b99","2020-04-13T16:38:16.396Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-07b3af0582d7ca878","2020-04-13T16:38:17.609Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ec2-required-tags","-","i-0f33ce552ac160fc4","2020-04-13T16:38:17.611Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0d5bed74625cf53a4","2020-04-13T16:38:20.063Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ssm-unmanaged-instance","-","i-0f33ce552ac160fc4","2020-04-13T16:39:45.072Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ssm-unmanaged-instance","-","i-07b3af0582d7ca878","2020-04-13T16:39:45.105Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ec2-required-tags","-","i-0762ab494d2386fc3","2020-04-13T16:40:00.362Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-07a0c154cfa5b5c6d","2020-04-13T16:40:03.651Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","-","vol-06fddab976a42292c","2020-04-13T16:40:05.515Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","-","i-03d4a6eaeb8642f92","2020-04-13T18:29:11.612Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","-","vol-0f19409013b1a6cf9","2020-04-13T18:29:12.804Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-iam-unassigned-user","security","AIDAS6X65HY2COY3E5WTK","2020-04-21T05:24:14.877Z","Cloudticity-Fission-QA","us-east-1","IAM user is not assigned to o2-Customer group."
"o2-s3-default-encryption","security","eks-qa-eksstack-unbru4v56f19-kubeconfigbucket-1mutjvzcl3mj9","2020-04-24T20:13:06.897Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-ebs-untagged-volume","compliance","vol-0ce48810470177ff2","2020-04-24T20:32:27.122Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","compliance","vol-0bb41bd5b8b73679f","2020-04-24T20:32:27.152Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","compliance","i-04622598119403713","2020-04-24T20:32:27.450Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ec2-required-tags","compliance","i-092c662729720b8b0","2020-04-24T20:32:27.777Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","compliance","vol-0a65ec3b21db7d5f9","2020-04-24T20:33:05.878Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ebs-untagged-volume","compliance","vol-01a24835e799676c1","2020-04-24T20:33:07.345Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","compliance","i-010ea1bd6c6d85f8f","2020-04-24T20:33:08.254Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ssm-unmanaged-instance","availability","i-04622598119403713","2020-04-24T20:34:52.456Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ssm-unmanaged-instance","availability","i-092c662729720b8b0","2020-04-24T20:34:57.034Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ec2-required-tags","compliance","i-064a67c6d741f9caa","2020-04-27T05:55:21.653Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","compliance","vol-0a8ed175c66144fd4","2020-04-27T05:55:21.819Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-security-group-unrestricted-ssh","security","sg-0deeaf8440cb772de","2020-04-27T05:57:33.280Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ssm-unmanaged-instance","availability","i-064a67c6d741f9caa","2020-04-27T05:57:34.927Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ebs-untagged-volume","compliance","vol-001f4b1caf5005b5e","2020-04-27T06:17:53.386Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-ec2-required-tags","compliance","i-039f615eaed6bd03b","2020-04-27T06:17:56.193Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-unencrypted-volume","security","vol-001f4b1caf5005b5e","2020-04-27T06:19:40.155Z","Cloudticity-Fission-QA","us-east-1"," EBS volume tagged for PHI is not encrypted"
"o2-ssm-unmanaged-instance","availability","i-039f615eaed6bd03b","2020-04-27T06:20:09.044Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-security-group-unrestricted-ssh","security","sg-06374e2b00a5c9a7c","2020-04-27T06:20:20.419Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ec2-required-tags","compliance","i-0c6b3fbee627c712e","2020-04-27T06:25:12.595Z","Cloudticity-Fission-QA","us-east-1","EC2 instance is missing required tags"
"o2-ebs-untagged-volume","compliance","vol-0481320b6eae05c3b","2020-04-27T06:25:14.088Z","Cloudticity-Fission-QA","us-east-1","Untagged EBS Volume"
"o2-security-group-unrestricted-ssh","security","sg-024c184ac094bdb96","2020-04-27T06:27:27.044Z","Cloudticity-Fission-QA","us-east-1","A security group has port 22 (SSH) assigned to an open IP range."
"o2-ssm-unmanaged-instance","availability","i-0c6b3fbee627c712e","2020-04-27T06:27:40.363Z","Cloudticity-Fission-QA","us-east-1"," EC2 instance is not managed by SSM"
"o2-ebs-unencrypted-volume","security","vol-0481320b6eae05c3b","2020-04-27T06:37:09.038Z","Cloudticity-Fission-QA","us-east-1"," EBS volume tagged for PHI is not encrypted"
"o2-s3-default-encryption","security","test2704001","2020-04-27T09:04:56.420Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","security","tests324002","2020-04-27T09:12:31.130Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-s3-default-encryption","security","tests2close001","2020-04-27T09:28:08.339Z","Cloudticity-Fission-QA","us-east-1","An S3 bucket does not have default encryption configured."
"o2-cloudtrail-s3-no-logging","compliance","o2-account-configuration-o2SecurityEnableCloudtrail-175A2CYLENM9F-Cloudtrail-9B0K2I80WCVW","2020-04-27T19:41:23.811Z","Cloudticity-Fission-QA","us-east-1","CloudTrail S3 Bucket Logging Not Enabled"
